object_id,address,type,area,rooms,floor,build_year,cadastral_number,owner_ids
349,"п. Соликамск, пер. Трудовой, д. 748 к. 7, 280924",квартира,357.8,9,21,1985,43:84:3916715:58,166
350,"к. Снежногорск (Мурм.), ул. Крупской, д. 3/5, 502745",коммерческое,333.6,2,17,1982,58:38:9663280:61,188
351,"к. Элиста, пер. Комарова, д. 3/6 к. 3/9, 032032",дом,400.5,10,1,2014,27:66:3778404:39,177
352,"к. Жуковский, пр. Спартака, д. 870 стр. 9, 771215",квартира,92.1,3,12,1965,94:39:7956063:52,144
353,"ст. Листвянка (Иркут.), ш. Радужное, д. 4, 892613",коммерческое,249.8,4,19,1970,92:62:1376582:41,247
354,"к. Ардон, бул. Индустриальный, д. 6/2 к. 3, 177749",коммерческое,97.3,9,2,2023,28:17:3790745:43,294
355,"г. Юрьевец (Иван.), наб. Карьерная, д. 50 к. 1, 896164",коммерческое,485.2,1,29,1986,20:37:8536381:87,"265,208"
356,"ст. Петрозаводск, ул. Снежная, д. 76, 214764",квартира,418.6,10,5,2024,33:89:9569884:43,"247,88"
357,"клх Владикавказ, пер. Крымский, д. 8/7 к. 5/7, 659266",дом,306.3,2,8,1998,59:26:2821504:12,176
358,"д. Невьянск, бул. Вольный, д. 97 к. 747, 742243",коммерческое,221.5,3,20,1962,32:70:1654924:78,259
359,"д. Барнаул, ул. Трудовая, д. 786 стр. 579, 491801",квартира,251.5,3,29,2019,10:96:8239315:76,61
360,"ст. Истра, ул. Народная, д. 5/6 к. 8/5, 232194",коммерческое,274.3,4,26,2011,58:54:2639417:64,23
361,"д. Анапа, пр. Огородный, д. 827, 974995",квартира,456.8,2,10,2019,62:42:4171246:10,245
362,"г. Гремячинск (Перм.), ул. Орловская, д. 103, 723683",коммерческое,270.8,9,1,1998,93:36:6299951:62,4
363,"ст. Сладково, пр. Челюскинцев, д. 312, 770793",дом,332.8,5,9,2018,64:82:7134489:88,80
364,"д. Павловский Посад, наб. Октябрьская, д. 866, 076789",квартира,218.3,9,16,1972,57:81:9116148:42,204
365,"клх Биробиджан, ул. Челюскинцев, д. 9 стр. 846, 795760",коммерческое,211.1,3,28,1965,39:67:3714471:22,"296,177"
366,"клх Калининград, наб. Бабушкина, д. 48 к. 8, 466572",дом,404.4,10,23,1956,30:59:1088762:21,206
367,"клх Верхнее Пенжино, пр. Карьерный, д. 33 стр. 2/7, 433800",квартира,50.8,4,12,1960,87:14:7447920:61,"242,223"
368,"к. Ершов, ш. Толбухина, д. 715, 931837",дом,361.6,10,2,1972,91:73:8364728:11,267
369,"ст. Новокузнецк, ш. Черемуховое, д. 28, 771199",дом,113.5,10,17,2016,99:39:3843451:96,266
370,"д. Воронеж, бул. Пригородный, д. 35, 787125",коммерческое,20.1,3,3,1985,61:55:7629401:61,123
371,"г. Каневская, пр. Лесный, д. 67 к. 9, 145653",квартира,373.7,2,30,1961,80:46:6840069:54,266
372,"ст. Киренск, ш. Карла Либкнехта, д. 7/8, 072081",коммерческое,482.3,8,30,2001,83:10:5380657:32,"142,116"
373,"к. Петушки, пр. Транспортный, д. 1/3, 846684",коммерческое,54.7,5,11,1964,75:42:5196677:98,55
374,"г. Лагань, пер. Братский, д. 8/4 стр. 6/7, 410856",коммерческое,252.1,4,25,1993,68:97:8729606:85,194
375,"п. Вилюйск, пер. Труда, д. 3 стр. 508, 468105",дом,52.4,4,22,1979,50:62:6923972:76,"247,60"
376,"г. Барнаул, ул. Рылеева, д. 1 стр. 6/4, 544926",квартира,157.9,7,22,1993,19:80:3994493:70,135
377,"к. Томари, алл. Ватутина, д. 2/3 стр. 7/2, 062737",коммерческое,149.2,4,16,1975,40:40:5452763:36,112
378,"клх Тула, пер. Геологов, д. 8 к. 8/8, 228277",коммерческое,190.9,2,4,1960,96:94:9265544:88,128
379,"клх Катав-Ивановск, пр. Спортивный, д. 68 к. 296, 594082",квартира,427.0,6,20,1990,73:83:5609255:72,278
380,"к. Озеры, наб. Вахитова, д. 722 к. 444, 701851",дом,211.0,10,5,1956,77:64:9024879:79,262
381,"с. Хоста, пер. Докучаева, д. 7 к. 3/3, 772519",дом,433.0,3,15,1965,99:76:8718703:50,178
382,"п. Певек, пер. Трудовой, д. 5/2 к. 50, 813989",коммерческое,121.2,10,4,1991,56:88:5357055:33,7
383,"ст. Сортавала, ул. Киевская, д. 50 стр. 83, 895690",дом,246.2,10,11,1996,33:73:8112581:36,122
384,"к. Сальск, пр. Железнодорожный, д. 7, 111824",дом,430.1,5,15,1973,83:26:4834713:22,191
385,"к. Верхний Уфалей, наб. Макаренко, д. 60, 004615",коммерческое,227.5,7,7,1968,29:70:1163448:32,121
386,"к. Красноярск, ш. Киевское, д. 433 к. 9/9, 140578",коммерческое,268.2,6,26,2012,48:42:1800429:60,69
387,"с. Арсеньев, бул. Астраханский, д. 248 к. 38, 967183",квартира,123.4,5,16,1962,67:52:5358202:56,84
388,"д. Звенигород, пер. Олега Кошевого, д. 1/1, 942007",дом,185.2,7,4,1994,96:87:4337963:83,286
389,"ст. Оленек, ш. Сахалинское, д. 1 к. 28, 161284",квартира,490.1,5,12,1991,96:75:9178787:67,276
390,"д. Темрюк, бул. Володарского, д. 8 к. 4, 537950",дом,323.2,3,28,1971,91:53:8076906:90,"196,147"
391,"д. Сортавала, ул. Ангарская, д. 9/8, 811807",квартира,58.0,6,8,1990,50:93:5888148:44,208
392,"ст. Октябрьский (Башк.), наб. Красина, д. 20 стр. 6/4, 030453",дом,446.1,6,24,2016,67:62:3807132:33,203
393,"ст. Кижи, пр. Гастелло, д. 447, 361498",коммерческое,140.8,2,7,1971,60:23:2603125:18,"65,121"
394,"д. Калязин, бул. Ягодный, д. 292 стр. 44, 308948",квартира,32.7,7,17,1960,23:43:3605071:20,"243,281"
395,"с. Беломорск, пр. Плеханова, д. 2 к. 8/6, 304687",дом,130.1,5,15,1966,26:77:3862327:13,200
396,"с. Каменномостский, ул. Восточная, д. 26 к. 33, 411076",дом,434.8,8,28,2019,44:80:8463259:27,183
397,"ст. Красновишерск, ул. Советской Армии, д. 15, 831997",коммерческое,306.8,10,14,2017,91:91:9955411:49,"277,91"
398,"д. Гремячинск (Бурят.), ул. Озерная, д. 6/2, 070496",квартира,406.3,8,10,1996,62:43:3612506:48,"247,277"
399,"клх Белый Яр (Томск.), ул. Пушкина, д. 7/2 стр. 4/1, 676991",квартира,185.1,8,18,1951,98:72:9003857:48,268
400,"с. Томпа, пер. Тупиковый, д. 210 к. 39, 567972",дом,306.6,1,18,1997,34:62:8333427:60,221
401,"ст. Балашов, алл. Труда, д. 9/6, 982274",дом,125.9,2,14,1980,76:88:5561139:46,200
402,"к. Алапаевск, пер. Безымянный, д. 938 стр. 465, 315377",дом,218.2,2,6,1967,47:24:8639388:89,273
403,"д. Малая Вишера, наб. Тополиная, д. 870 к. 40, 793375",квартира,173.9,3,2,2018,12:33:2715864:46,252
404,"с. Йошкар-Ола, наб. Комсомольская, д. 950, 247395",коммерческое,23.9,2,5,1951,73:37:6736345:63,225
405,"п. Камень-на-Оби, алл. Новосельская, д. 3 к. 9, 230241",дом,242.6,1,11,1960,28:17:5471188:60,256
406,"с. Вытегра, алл. Маяковского, д. 4/6 к. 3, 112233",квартира,112.3,5,27,1998,11:25:5176895:59,241
407,"к. Шатой, бул. Владимирский, д. 499 к. 3, 304289",квартира,374.1,1,7,2008,22:76:4497162:70,227
408,"клх Ведено, ш. Ключевое, д. 78 к. 8, 255877",дом,96.1,1,24,2020,76:25:5249882:71,160
409,"д. Петухово, ш. Подгорное, д. 43 стр. 4/7, 466925",дом,446.0,4,4,1980,91:65:6444432:11,102
410,"п. Вендинга, пр. Есенина, д. 19 к. 9/6, 776657",коммерческое,77.4,4,1,1955,84:98:8973718:98,142
411,"с. Аргаяш, пр. Астраханский, д. 2, 148881",квартира,139.4,8,3,1993,90:17:2002860:55,191
412,"г. Глазов, наб. Партизанская, д. 45, 444392",квартира,80.4,4,11,2021,92:54:8360481:34,275
413,"ст. Малая Вишера, ш. Новоселов, д. 7/1 к. 9/3, 333738",дом,367.7,5,29,1955,72:66:5944490:79,194
414,"к. Верещагино (Перм.), ш. Енисейское, д. 7/4 к. 8/9, 529240",коммерческое,109.6,6,11,2009,45:86:3690116:18,98
415,"к. Кимры, пр. 50 лет ВЛКСМ, д. 6 к. 390, 599996",дом,413.3,9,12,2008,10:91:9488562:58,231
416,"с. Богучар, пр. Енисейский, д. 2/6 стр. 5/2, 182097",коммерческое,431.3,10,8,1991,18:94:7501017:34,10
417,"п. Братск, наб. Высокая, д. 94 к. 670, 256621",коммерческое,94.0,5,11,2002,92:51:2853280:22,255
418,"с. Боровск, ш. Ясное, д. 53 к. 8/3, 938743",квартира,420.9,3,6,1954,35:23:9143162:34,35
419,"с. Богучар, пер. Лазурный, д. 8 к. 8/1, 475469",коммерческое,421.4,8,17,1982,16:56:4703113:87,293
420,"п. Инта, бул. Космодемьянской, д. 7/3 стр. 460, 484137",квартира,334.8,2,15,1957,56:81:7978536:57,7
421,"к. Бузулук, пер. 40 лет Победы, д. 8/3, 380701",коммерческое,147.6,1,24,1959,48:19:4622201:76,30
422,"к. Петрозаводск, пр. Почтовый, д. 341, 777118",коммерческое,205.0,4,17,1981,82:90:4001408:81,119
423,"п. Соликамск, ш. Алтайское, д. 20 к. 24, 210427",коммерческое,70.6,10,12,2008,99:95:8165129:23,213
424,"п. Асино, пер. Полтавский, д. 1/9 стр. 864, 900633",коммерческое,212.7,6,22,1970,78:86:8432510:55,93
425,"п. Верхоянск, пр. Береговой, д. 253, 122068",дом,217.9,7,27,1991,87:40:4589118:58,"282,167"
426,"к. Учалы, алл. Портовая, д. 7/2 стр. 23, 520650",дом,481.6,8,13,1950,14:46:1273509:76,131
427,"с. Кетченеры, бул. Медицинский, д. 1, 364971",квартира,164.2,4,7,1990,12:98:5629792:80,155
428,"г. Шатура, бул. Коминтерна, д. 35 к. 8, 509976",коммерческое,94.3,1,15,1995,29:27:5445763:56,293
429,"п. Анива, ш. Свободное, д. 4 стр. 4/2, 257432",дом,409.3,2,19,2001,82:37:2295227:51,"128,120"
430,"клх Ачинск, бул. Сурикова, д. 3, 508640",дом,416.3,10,27,1962,86:92:6039762:14,89
431,"к. Королев, пер. Трактовый, д. 73, 270171",дом,57.7,1,30,1992,54:65:7988074:25,296
432,"клх Диксон, алл. Социалистическая, д. 99, 381674",коммерческое,393.2,7,2,1989,77:15:6357242:79,"117,6"
433,"п. Ржев, пер. Новгородский, д. 5, 347156",коммерческое,354.9,3,2,2000,67:86:9467953:21,168
434,"с. Сарапул, пер. Седова, д. 17 к. 7/2, 982824",дом,91.0,6,3,2010,83:16:7697318:43,149
435,"к. Серафимович, пр. Мусы Джалиля, д. 852 к. 42, 085766",дом,391.4,3,25,1967,71:81:4323709:72,257
436,"с. Сургут (Хант.), бул. Кирпичный, д. 1/2 к. 3/4, 458750",квартира,289.4,9,8,1981,19:44:8215305:51,293
437,"клх Котельнич, пр. Строительный, д. 1, 497243",квартира,74.0,7,14,1996,54:34:6381096:54,295
438,"г. Видное, бул. Серова, д. 2/9 стр. 36, 448869",дом,101.2,6,20,2006,89:28:8389750:15,13
439,"ст. Верхний Уфалей, бул. Чайковского, д. 44, 402701",коммерческое,199.4,2,4,1956,41:89:3477610:46,"120,103"
440,"д. Пушкино (Моск.), наб. Автомобилистов, д. 62 стр. 42, 281793",дом,236.0,1,11,1976,78:37:4419219:79,57
441,"г. Ишим, наб. Глинки, д. 2/3, 416141",коммерческое,251.9,3,23,1952,58:84:9838222:15,133
442,"д. Кисловодск, пр. Сельский, д. 104 к. 913, 698477",дом,116.3,10,9,1956,69:93:1139824:18,31
443,"к. Обнинск, наб. Островского, д. 75 стр. 1/6, 107620",коммерческое,429.0,6,28,1963,12:47:7484783:39,139
444,"клх Кош-Агач, пр. Шишкина, д. 4/1 к. 1, 057397",дом,252.6,10,18,1961,33:35:9399526:68,"261,51"
445,"к. Ростов-на-Дону, бул. Сиреневый, д. 5/4 к. 98, 271487",квартира,138.7,9,10,1992,72:60:3634111:12,12
446,"г. Старая Русса, пер. Слободской, д. 33 стр. 116, 564347",дом,320.1,4,17,1985,17:90:5323142:59,181
447,"д. Яшкуль, пр. Революционный, д. 4 стр. 756, 334141",дом,128.3,6,29,2000,94:27:2472955:58,"16,285"
448,"к. Чулым, бул. Пограничный, д. 3, 690409",дом,135.4,3,14,1989,87:52:8535808:79,117
449,"с. Моршанск, ш. Подлесное, д. 71 к. 687, 437729",коммерческое,279.8,4,28,1967,49:98:9787997:27,71
450,"клх Асино, наб. Некрасова, д. 849 стр. 57, 052330",коммерческое,467.9,3,11,1958,81:78:2986209:33,75
451,"клх Павловский Посад, ш. Большое, д. 686 к. 8/6, 618443",коммерческое,34.2,6,29,2002,62:48:8432381:91,75
452,"п. Муравленко, ш. Трактовое, д. 8 стр. 39, 742333",квартира,71.3,3,1,1984,87:82:4874049:86,"141,78"
453,"клх Чайковский, бул. Тенистый, д. 7/3, 157201",дом,58.1,8,5,2014,87:70:7273997:33,14
454,"п. Ямбург, пр. Владимирский, д. 713 стр. 5/3, 176475",квартира,98.6,4,2,2002,11:44:7929728:38,"252,243"
455,"г. Великие Луки, пр. Хвойный, д. 899, 192676",квартира,51.7,8,28,2012,98:51:8676330:41,104
456,"г. Мурманск, бул. Брянский, д. 1/7, 189813",коммерческое,373.0,7,24,1990,60:88:9995261:77,22
457,"ст. Шатой, алл. Садовая, д. 6/2 стр. 429, 184011",коммерческое,72.5,8,27,1955,41:76:7637254:15,20
458,"д. Златоуст, бул. Советский, д. 14 к. 9, 297585",коммерческое,482.0,4,10,2006,60:48:5796850:69,265
459,"клх Балашов, ул. Енисейская, д. 44, 983954",коммерческое,461.1,9,29,1968,69:92:8578236:21,151
460,"г. Усть-Джегута, наб. Революции, д. 86 к. 346, 143598",квартира,393.8,9,5,2000,62:51:8564609:13,58
461,"ст. Елатьма, ш. Блюхера, д. 1/4 к. 941, 861515",дом,63.3,6,23,1970,25:21:2915369:67,104
462,"п. Кингисепп, ул. Гражданская, д. 4/7 к. 912, 971859",коммерческое,359.5,9,20,1970,58:80:7385526:15,44
463,"д. Волгоград, алл. Карла Маркса, д. 3/6, 792408",коммерческое,438.2,3,6,1968,32:16:8039412:49,172
464,"п. Октябрьское (Челяб.), бул. Черемуховый, д. 753 стр. 3/8, 784468",дом,320.7,2,29,1966,35:10:5246497:11,229
465,"клх Верхний Баскунчак, пр. Комарова, д. 411 к. 129, 487068",коммерческое,407.6,10,29,2013,40:37:8981122:68,256
466,"с. Тольятти, бул. Свободный, д. 1/4 стр. 668, 890972",коммерческое,308.0,4,29,2020,45:89:4483580:16,41
467,"г. Ноябрьск, пер. К.Маркса, д. 767, 515381",коммерческое,187.5,3,28,1954,95:83:6007018:52,29
468,"с. Магадан, алл. Центральная, д. 4/5 к. 879, 509754",дом,497.0,3,22,1986,88:94:3976601:68,"26,56"
469,"г. Нижнеудинск, алл. Короленко, д. 1 стр. 467, 882617",квартира,64.7,5,11,1997,58:18:8169304:80,185
470,"ст. Красновишерск, пр. Геологов, д. 5, 628417",квартира,78.6,5,11,2017,62:77:4520621:99,242
471,"п. Новгород Великий, пр. Садовый, д. 4 стр. 134, 665023",квартира,294.3,9,3,2011,98:87:5818203:64,30
472,"г. Раменское, пер. Мая 1, д. 75 к. 3/2, 022580",дом,272.2,10,12,1966,88:82:9328158:76,163
473,"клх Неплюевка, пер. Октябрьский, д. 8/5 к. 8, 639282",дом,407.8,10,8,1987,34:10:2983186:13,255
474,"ст. Галич, бул. Покровский, д. 4/8 к. 389, 923126",коммерческое,427.1,10,14,2002,15:52:6866154:81,61
475,"п. Домбай, ул. Крымская, д. 706 к. 4, 567086",коммерческое,116.6,5,9,1958,49:48:9500841:80,"109,6"
476,"г. Курск, наб. 60 лет Октября, д. 4/6 к. 120, 534749",квартира,349.2,6,13,2022,88:13:3946567:34,4
477,"п. Краснодар, наб. Герцена, д. 2 к. 308, 559895",коммерческое,250.0,8,26,1954,92:27:9078154:29,174
478,"п. Чермоз, ул. Веселая, д. 29 к. 493, 118954",дом,242.0,7,30,1957,76:48:6293259:81,275
479,"д. Елатьма, алл. Хуторская, д. 9/5, 571617",коммерческое,349.0,6,3,1969,45:13:6690033:58,107
480,"п. Шатой, бул. Карьерный, д. 1 к. 836, 278686",коммерческое,310.7,3,20,1964,49:50:1530633:44,85
481,"п. Йошкар-Ола, алл. Красноярская, д. 987, 434481",квартира,198.4,5,7,2017,48:32:2882928:57,255
482,"г. Тында, наб. Вокзальная, д. 34, 033810",квартира,233.0,1,26,2011,74:29:4191222:53,104
483,"к. Великий Устюг, пер. Путевой, д. 56 стр. 1, 534240",дом,88.8,2,27,2016,96:26:4442468:14,"269,159"
484,"клх Красноуфимск, бул. Ясный, д. 4/6 стр. 4, 273652",квартира,22.0,1,22,1961,52:69:1774096:23,268
485,"с. Иркутск, алл. Смоленская, д. 89 к. 14, 226931",квартира,297.2,5,21,1976,51:35:4230379:46,160
486,"с. Кострома, бул. Шолохова, д. 182 к. 166, 002314",дом,342.1,5,5,1970,45:24:1255965:89,164
487,"ст. Алдан, пер. Титова, д. 832, 245723",квартира,280.4,9,11,1984,28:46:5107483:31,53
488,"клх Урус-Мартан, ул. Красная, д. 284, 203036",коммерческое,233.0,3,1,2010,96:16:2777158:59,174
489,"к. Луга, бул. Серова, д. 272, 145195",дом,105.9,10,29,2007,88:55:6241884:52,219
490,"г. Балашиха, алл. Водопроводная, д. 9/6 стр. 36, 945147",дом,292.5,2,27,2009,22:68:6207508:97,"274,41"
491,"ст. Бузулук, ш. Учительское, д. 35, 771196",дом,131.2,4,5,1983,56:60:4076154:99,239
492,"г. Мостовской, алл. Добролюбова, д. 6, 676952",дом,254.0,2,16,1964,54:71:8738351:31,"170,167"
493,"с. Усть-Баргузин, пер. 8-е Марта, д. 26 к. 9/4, 350305",коммерческое,295.8,9,4,2001,23:51:2189907:48,179
494,"г. Билибино, наб. Кленовая, д. 8 к. 78, 330212",коммерческое,218.5,10,8,2020,30:71:7439371:18,206
495,"клх Ржев, ул. Веселая, д. 379 к. 325, 310962",дом,292.3,6,18,1980,32:94:2306851:83,221
496,"клх Дивногорск, пер. Горького, д. 7/6 стр. 1/5, 200928",дом,286.4,8,6,1989,61:18:2824432:97,"59,238"
497,"с. Ревда (Сверд.), пр. Отрадный, д. 4 стр. 3/5, 862369",дом,329.6,1,3,1977,27:84:1003092:28,"195,168"
498,"с. Йошкар-Ола, пер. Сибирский, д. 8/6 стр. 7/3, 563411",коммерческое,159.9,10,19,2007,35:36:6311628:48,232
499,"д. Нарткала, алл. Детская, д. 28, 390438",дом,364.5,6,3,2024,11:88:9563491:61,156
500,"п. Курск, пер. Красный, д. 1/1, 140546",дом,452.5,1,1,2021,55:24:5734685:13,"151,32"
501,"ст. Павловская, наб. Карьерная, д. 956 стр. 182, 790422",коммерческое,172.7,7,13,1998,65:79:4543617:94,202
502,"клх Вилюйск, алл. Рыбацкая, д. 92 стр. 8, 545960",квартира,286.6,6,27,2003,29:46:3106365:27,72
503,"п. Щелково, ул. Амурская, д. 2/1 стр. 94, 717524",квартира,366.2,8,22,2005,27:20:3302174:92,9
504,"к. Чебаркуль, наб. Родниковая, д. 527 к. 5/8, 197054",коммерческое,106.3,9,14,2020,67:59:6961066:38,"234,218"
505,"ст. Южноуральск, алл. Гончарова, д. 9 стр. 6, 687409",коммерческое,259.1,4,23,2014,44:62:7156735:14,4
506,"клх Ухта, алл. Гвардейская, д. 7, 961367",коммерческое,196.9,10,16,1960,28:77:5687895:69,"291,248"
507,"с. Снежногорск (Мурм.), пер. Вавилова, д. 212 стр. 7/4, 515597",коммерческое,62.5,8,21,1959,97:91:6242875:88,268
508,"г. Лабытнанги, ул. Прудовая, д. 3/4 к. 1, 056730",коммерческое,393.7,8,15,2015,70:83:6561881:63,176
509,"ст. Ревда (Сверд.), наб. Смоленская, д. 521 к. 2/5, 683420",дом,100.4,10,24,1988,82:43:2030419:90,151
510,"к. Макаров, алл. Тимирязева, д. 8/8, 659608",коммерческое,44.8,5,26,1953,46:72:2384290:26,87
511,"клх Чегем, алл. Шевченко, д. 1 стр. 37, 516480",дом,83.6,5,9,1982,11:24:3929534:85,143
512,"клх Североморск, пер. Фестивальный, д. 733 стр. 79, 533905",дом,407.8,5,26,1980,72:33:9848116:14,229
513,"к. Меренга, ш. Свободное, д. 8/7 стр. 6/6, 851276",квартира,305.9,3,27,2013,62:59:4992095:94,44
514,"д. Шали, пер. Спартака, д. 5/7, 911110",квартира,297.3,6,2,1983,24:16:3811868:69,86
515,"с. Юрюзань, ул. Сурикова, д. 446 стр. 97, 137157",дом,378.2,9,8,1998,97:59:8962291:43,155
516,"г. Озеры, пер. Дальневосточный, д. 5, 630600",квартира,158.6,8,13,1990,77:97:1688161:22,223
517,"ст. Озеры, ш. Карла Маркса, д. 3 стр. 4/9, 396096",коммерческое,460.7,5,11,1984,44:22:5283960:93,"182,222"
518,"клх Иваново, наб. Аэродромная, д. 4/2 к. 28, 482531",коммерческое,379.6,10,25,1974,76:53:4018500:50,237
519,"с. Александров Гай, ш. Амурское, д. 298 стр. 1/3, 523343",квартира,25.7,2,17,1963,97:67:6897466:38,5
520,"ст. Крымск, ул. Прохладная, д. 220 стр. 279, 244211",квартира,36.3,10,3,1957,86:94:4637715:86,129
521,"ст. Каргополь, ул. Папанина, д. 861 к. 736, 722402",квартира,431.1,3,13,2022,33:24:4091420:42,62
522,"к. Нефтеюганск, пер. Садовый, д. 58 к. 139, 882351",коммерческое,237.7,5,25,2004,98:95:6425820:42,39
523,"к. Джубга, ул. Подлесная, д. 5, 315847",дом,393.0,7,13,1992,17:43:5440339:32,38
524,"д. Петропавловск-Камчатский, наб. Ангарская, д. 74, 994237",квартира,312.9,3,21,2012,23:28:8235234:37,252
525,"с. Шамары, наб. 8 Марта, д. 796 стр. 69, 172084",дом,363.4,2,2,1959,19:83:5204309:67,55
526,"д. Тутаев, пр. Красноармейский, д. 725 к. 45, 355251",квартира,333.4,1,30,1954,95:59:5470062:29,255
527,"клх Александров Гай, наб. Горняцкая, д. 6/4 стр. 464, 184919",коммерческое,21.8,8,16,2005,61:18:4789081:10,201
528,"к. Моршанск, алл. Клубная, д. 8/1, 611729",квартира,292.3,6,11,1988,61:17:2521139:56,247
529,"п. Чебаркуль, наб. Пролетарская, д. 374, 088050",квартира,423.8,5,21,1975,32:80:1659867:59,175
530,"г. Пушкин, наб. Прохладная, д. 6 стр. 2/9, 790647",коммерческое,207.3,2,21,1995,72:20:8348147:34,154
531,"ст. Одинцово, ул. Кооперативная, д. 10 стр. 61, 321358",квартира,365.5,10,8,2012,59:18:6162867:73,99
532,"к. Балашиха, ул. Свободы, д. 745, 229712",квартира,37.8,1,11,1955,61:25:4551370:93,231
533,"ст. Чермоз, бул. Волкова, д. 488 к. 8/5, 731441",коммерческое,437.7,9,5,2024,39:19:1618704:28,235
534,"клх Карачаевск, ул. Линейная, д. 1/4 стр. 737, 715398",дом,455.4,10,2,1981,99:93:3190059:11,10
535,"клх Серафимович, алл. Дарвина, д. 623 стр. 8/9, 631462",дом,414.0,2,15,1971,85:18:2783941:24,26
536,"п. Славгород, бул. Рябиновый, д. 80, 407875",квартира,406.1,7,11,2001,51:25:3304005:51,113
537,"д. Вендинга, пр. Сахалинский, д. 96 к. 9/6, 745106",коммерческое,103.3,2,4,1985,28:63:3819425:99,"110,24"
538,"к. Калач-на-Дону, алл. Томская, д. 9/7 к. 203, 100943",дом,136.9,10,2,1967,22:90:7310431:30,85
539,"к. Кингисепп, бул. Черемушки, д. 7/2 стр. 84, 235494",квартира,23.0,3,30,1961,93:85:5760225:63,250
540,"п. Теберда, пер. Беляева, д. 4 стр. 25, 257207",коммерческое,80.9,3,21,1984,76:67:7912738:40,244
541,"г. Ижевск, ул. Стахановская, д. 895 к. 873, 009438",коммерческое,259.9,2,21,1988,54:63:1076672:81,"20,93"
542,"ст. Витим, наб. Щорса, д. 8/6, 745705",коммерческое,488.9,10,12,2019,74:38:8788252:90,61
543,"д. Шамары, ул. Просторная, д. 426 к. 85, 396531",квартира,113.0,3,22,2010,73:32:3680321:95,142
544,"клх Всеволожск, бул. Химиков, д. 64 к. 7, 443098",дом,120.6,5,11,2008,15:23:1880075:78,"28,187"
545,"с. Сергиев Посад, ш. Белинского, д. 2 стр. 872, 849824",дом,267.2,2,29,1980,66:85:6468907:63,15
546,"г. Магас, пр. Дорожный, д. 24, 740650",квартира,393.9,6,8,1962,40:62:4354702:58,167
547,"п. Нижнеудинск, ш. Р.Люксембург, д. 51 к. 73, 430753",коммерческое,252.5,7,5,1977,88:68:3987363:59,"38,242"
548,"с. Внуково (метеост.), наб. Чехова, д. 79 к. 3, 426834",коммерческое,113.2,6,9,1975,52:26:1538457:98,235
549,"к. Хасавюрт, пр. Казанский, д. 7/2 стр. 88, 857567",квартира,73.3,8,15,2003,31:53:4688530:47,144
550,"с. Армавир, ул. 60 лет СССР, д. 529 стр. 99, 298940",коммерческое,485.7,4,3,2002,76:72:4631304:85,88
551,"с. Азов (Рост.), ш. Бажова, д. 510 к. 259, 975019",дом,27.0,7,24,1981,41:51:8285484:84,237
552,"д. Добрянка, бул. Мая 1, д. 33 стр. 5, 793110",коммерческое,451.2,7,2,1955,70:74:1564059:64,77
553,"д. Владимир, алл. Крайняя, д. 1/9, 601467",коммерческое,414.2,8,16,1980,20:81:1208423:98,246
554,"ст. Усмань, ш. Октября, д. 162 к. 42, 883774",квартира,192.0,4,21,1961,12:71:6114309:30,112
555,"д. Сызрань, бул. Прохладный, д. 7/2 к. 7/7, 047196",коммерческое,300.2,8,15,1967,61:33:7214624:90,293
556,"г. Южноуральск, ул. Крылова, д. 87 к. 1, 588358",коммерческое,53.9,6,17,1954,47:64:5526314:99,1
557,"п. Екатеринбург, бул. Лазо, д. 3/5 к. 7, 767929",квартира,398.1,2,20,1992,17:75:7106747:16,"278,295"
558,"клх Муравленко, пер. Тельмана, д. 2/1 стр. 223, 775331",дом,317.2,6,12,1972,92:81:2124172:81,188
559,"ст. Радужный, ул. Сплавная, д. 801, 902517",квартира,491.0,4,18,1964,93:71:4519758:38,105
560,"клх Хужир, алл. Привольная, д. 8 стр. 5/4, 268319",коммерческое,346.5,5,2,1958,57:54:8590191:72,137
561,"п. Асбест, ул. Терешковой, д. 9/2, 287339",дом,360.7,9,29,1987,67:89:7176462:96,63
562,"к. Южно-Сахалинск, ш. Придорожное, д. 776 стр. 391, 117309",дом,61.9,7,29,1972,46:19:2834838:31,"34,97"
563,"п. Льгов, пр. Фурманова, д. 224 к. 98, 690819",дом,92.2,4,17,1952,47:63:3215051:70,76
564,"клх Артем, наб. 60 лет СССР, д. 4, 023850",коммерческое,329.4,5,7,1958,12:39:9717785:92,228
565,"г. Фатеж, бул. Парковый, д. 2 стр. 2/9, 240107",дом,334.8,6,16,2017,80:66:8684083:48,297
566,"с. Сосногорск, ш. Курское, д. 400 к. 1/9, 066266",квартира,398.8,4,16,1997,46:16:3488704:55,157
567,"с. Геленджик, наб. Есенина, д. 75 стр. 233, 368900",коммерческое,463.6,9,10,1973,32:98:3575047:30,86
568,"г. Березники, пр. Осенний, д. 1, 593429",дом,295.8,8,9,1997,33:36:1581986:95,22
569,"клх Горячий Ключ, ул. Магистральная, д. 9 стр. 67, 745843",квартира,199.0,9,6,2018,48:25:1418175:61,177
570,"клх Урай, ул. Трактовая, д. 7 стр. 5/2, 283483",дом,94.9,9,17,1992,92:47:8950901:47,"75,235"
571,"клх Дмитров, алл. Щетинкина, д. 2/1, 044964",коммерческое,369.7,8,11,1964,71:15:3339134:96,"294,76"
