property_id,address,property_type,area,rooms,floor,build_year,cadastral_number,owner_info
360,"с. Белорецк, ш. Саратовское, д. 2/8 стр. 81, 373992",Квартира,29.8,3,18,1959,83:39:371212:418,"[{""owner_id"": 79, ""share"": 0.67}, {""owner_id"": 13, ""share"": 0.1}, {""owner_id"": 236, ""share"": 0.23}]"
361,"п. Змеиногорск, пер. Прибрежный, д. 3/2, 591438",Дом,77.0,4,22,1965,78:10:772580:738,"[{""owner_id"": 208, ""share"": 1.0}]"
362,"п. Мураши, наб. Владимирская, д. 95 стр. 5, 177732",Квартира,146.2,1,12,2014,23:47:925115:703,"[{""owner_id"": 300, ""share"": 1.0}]"
363,"п. Андреаполь, наб. Лесхозная, д. 8 стр. 827, 292712",Дом,157.7,4,13,2000,94:13:597012:161,"[{""owner_id"": 45, ""share"": 1.0}]"
364,"п. Шамары, ш. Машиностроителей, д. 637 к. 99, 220125",Коммерческое,90.4,5,10,1968,48:96:933635:888,"[{""owner_id"": 70, ""share"": 1.0}]"
365,"д. Калач, ул. Красная, д. 9, 978889",Коммерческое,45.4,1,1,2023,86:60:663244:561,"[{""owner_id"": 192, ""share"": 0.54}, {""owner_id"": 6, ""share"": 0.46}]"
366,"клх Касимов, бул. Жуковского, д. 3 стр. 78, 030443",Коммерческое,45.6,2,8,1982,34:24:290167:688,"[{""owner_id"": 157, ""share"": 0.27}, {""owner_id"": 108, ""share"": 0.58}, {""owner_id"": 177, ""share"": 0.15}]"
367,"ст. Хоста, наб. Рябиновая, д. 2/6 стр. 23, 292950",Коммерческое,33.2,1,9,1962,35:84:610856:975,"[{""owner_id"": 28, ""share"": 0.47}, {""owner_id"": 282, ""share"": 0.53}]"
368,"п. Сосногорск, бул. Тупиковый, д. 193 к. 8/2, 971912",Коммерческое,138.0,1,10,1958,34:50:609462:462,"[{""owner_id"": 66, ""share"": 1.0}]"
369,"клх Ейск, алл. Пограничная, д. 22 стр. 7/8, 019111",Коммерческое,125.2,5,19,1996,50:64:276831:5,"[{""owner_id"": 157, ""share"": 1.0}]"
370,"г. Губкинский, ул. Киевская, д. 672, 339304",Коммерческое,153.2,4,9,1996,27:96:868577:340,"[{""owner_id"": 114, ""share"": 1.0}]"
371,"с. Нарьян-Мар, пер. Полевой, д. 57, 242114",Дом,107.7,1,6,1960,45:27:664781:202,"[{""owner_id"": 237, ""share"": 0.39}, {""owner_id"": 229, ""share"": 0.61}]"
372,"клх Туапсе, наб. Октябрьская, д. 3, 946209",Коммерческое,33.6,1,17,1953,84:84:524814:788,"[{""owner_id"": 40, ""share"": 1.0}]"
373,"к. Оленек, ш. Молодежное, д. 69, 970137",Коммерческое,66.9,5,16,1969,56:60:334153:913,"[{""owner_id"": 19, ""share"": 1.0}]"
374,"к. Калевала, наб. Энгельса, д. 7 к. 3, 041202",Коммерческое,36.3,3,17,1951,94:40:989173:988,"[{""owner_id"": 149, ""share"": 0.47}, {""owner_id"": 69, ""share"": 0.53}]"
375,"с. Горячинск, пер. Алтайский, д. 4/9 к. 5/1, 990716",Квартира,52.2,5,22,1968,71:55:142383:225,"[{""owner_id"": 85, ""share"": 0.21}, {""owner_id"": 264, ""share"": 0.79}]"
376,"с. Киренск, алл. Детская, д. 555, 034030",Квартира,27.7,2,17,1996,59:70:576728:903,"[{""owner_id"": 119, ""share"": 0.31}, {""owner_id"": 33, ""share"": 0.69}]"
377,"д. Новый Уренгой, пр. Микрорайон, д. 7 к. 2, 795546",Квартира,146.7,5,21,1985,43:84:670792:584,"[{""owner_id"": 166, ""share"": 1.0}]"
378,"к. Сочи, алл. Ударная, д. 7/1, 080181",Дом,125.8,1,17,1982,58:38:641455:416,"[{""owner_id"": 194, ""share"": 1.0}]"
379,"г. Прохладный, алл. Сиреневая, д. 7/5 стр. 772, 808157",Дом,162.7,5,1,2014,27:66:273650:236,"[{""owner_id"": 177, ""share"": 1.0}]"
380,"д. Архангельск, ул. Володарского, д. 471 стр. 267, 073510",Квартира,47.0,2,12,1965,94:39:534753:831,"[{""owner_id"": 144, ""share"": 1.0}]"
381,"д. Кыштым, наб. Крымская, д. 3/2 к. 10, 258857",Дом,141.5,4,7,1970,92:62:123536:250,"[{""owner_id"": 59, ""share"": 1.0}]"
382,"д. Краснокамск, ул. Логовая, д. 680 к. 73, 746662",Коммерческое,49.0,5,2,2023,28:17:274421:265,"[{""owner_id"": 294, ""share"": 1.0}]"
383,"д. Богучар, алл. Придорожная, д. 1/1 стр. 746, 145901",Коммерческое,139.1,3,3,1977,67:87:594312:889,"[{""owner_id"": 265, ""share"": 0.61}, {""owner_id"": 208, ""share"": 0.27}, {""owner_id"": 289, ""share"": 0.12}]"
384,"с. Чехов, бул. Павлика Морозова, д. 140 к. 4, 949053",Дом,128.2,5,25,1973,89:94:635617:271,"[{""owner_id"": 113, ""share"": 1.0}]"
385,"ст. Змеиногорск, наб. О.Кошевого, д. 894, 987313",Дом,127.4,1,8,1998,59:26:213844:17,"[{""owner_id"": 176, ""share"": 1.0}]"
386,"клх Горно-Алтайск, пр. Гагарина, д. 266 к. 83, 077943",Коммерческое,95.6,2,20,1962,32:70:744610:615,"[{""owner_id"": 259, ""share"": 1.0}]"
387,"ст. Мостовской, алл. Союзная, д. 2 к. 1/2, 262037",Коммерческое,155.4,1,16,1966,87:79:967719:2,"[{""owner_id"": 273, ""share"": 1.0}]"
388,"ст. Ульяновск, ул. Родниковая, д. 1/3, 418135",Квартира,145.6,4,8,2011,58:54:717661:824,"[{""owner_id"": 221, ""share"": 0.44}, {""owner_id"": 268, ""share"": 0.56}]"
389,"г. Великий Устюг, ул. Толбухина, д. 9 к. 718, 482217",Дом,105.9,2,3,1986,86:79:528497:264,"[{""owner_id"": 295, ""share"": 0.44}, {""owner_id"": 51, ""share"": 0.56}]"
390,"д. Саранск, наб. Бабушкина, д. 182 стр. 148, 757123",Коммерческое,114.1,5,1,1998,93:36:821175:824,"[{""owner_id"": 4, ""share"": 1.0}]"
391,"к. Шали, ул. Промышленная, д. 88 к. 3, 882769",Квартира,47.9,5,9,1983,78:64:692099:375,"[{""owner_id"": 186, ""share"": 1.0}]"
392,"к. Балашиха, наб. Курганная, д. 741 стр. 156, 832748",Квартира,94.4,5,16,1972,57:81:681866:496,"[{""owner_id"": 204, ""share"": 1.0}]"
393,"клх Октябрьское (Хант.), ул. Бажова, д. 3/5 к. 596, 683496",Коммерческое,82.0,4,24,1967,94:25:884140:236,"[{""owner_id"": 158, ""share"": 1.0}]"
394,"с. Тихорецк, алл. Ключевая, д. 1/3 к. 2, 225936",Квартира,58.6,4,11,2020,88:99:817817:724,"[{""owner_id"": 83, ""share"": 1.0}]"
395,"г. Тверь, ш. Минское, д. 9 стр. 9/9, 906246",Коммерческое,21.0,1,5,2010,86:65:192422:66,"[{""owner_id"": 200, ""share"": 1.0}]"
396,"ст. Тулпан, пер. Профсоюзный, д. 1/2 к. 441, 935923",Квартира,129.6,4,13,2016,46:86:160254:969,"[{""owner_id"": 190, ""share"": 1.0}]"
397,"п. Катайск, бул. Макаренко, д. 452 к. 945, 650254",Квартира,173.1,5,10,1974,14:86:635348:529,"[{""owner_id"": 90, ""share"": 0.45}, {""owner_id"": 254, ""share"": 0.55}]"
398,"п. Кузнецк, пер. Фестивальный, д. 6/1, 440966",Коммерческое,26.5,2,21,1950,30:21:389340:799,"[{""owner_id"": 87, ""share"": 1.0}]"
399,"ст. Стерлитамак, ул. Подлесная, д. 9 стр. 188, 782141",Дом,125.5,5,1,1958,21:80:398313:744,"[{""owner_id"": 203, ""share"": 1.0}]"
400,"с. Томпа, ш. Космическое, д. 3, 648698",Дом,60.7,2,15,2001,83:10:373791:180,"[{""owner_id"": 299, ""share"": 0.38}, {""owner_id"": 179, ""share"": 0.62}]"
401,"клх Южно-Сахалинск, пр. Труда, д. 5/2 стр. 6, 501192",Коммерческое,33.0,3,11,1964,75:42:664032:833,"[{""owner_id"": 55, ""share"": 1.0}]"
402,"ст. Сосногорск, алл. Революции, д. 251 к. 2/7, 398863",Коммерческое,107.1,2,25,1993,68:97:583100:919,"[{""owner_id"": 129, ""share"": 0.87}, {""owner_id"": 227, ""share"": 0.13}]"
403,"п. Приморско-Ахтарск, бул. Кедровый, д. 589 стр. 6, 670009",Дом,40.9,1,13,1978,96:99:341099:820,"[{""owner_id"": 15, ""share"": 1.0}]"
404,"к. Тутаев, наб. Республиканская, д. 746 стр. 9, 676056",Коммерческое,116.4,3,8,1986,21:61:806423:767,"[{""owner_id"": 181, ""share"": 1.0}]"
405,"г. Минусинск, пр. Жданова, д. 8/6 к. 597, 338906",Дом,76.5,2,19,1984,33:97:299405:511,"[{""owner_id"": 39, ""share"": 0.85}, {""owner_id"": 284, ""share"": 0.15}]"
406,"ст. Нязепетровск, ш. Черемушки, д. 3/3 к. 6/5, 165995",Квартира,61.3,2,20,1995,29:23:225701:943,"[{""owner_id"": 121, ""share"": 0.8}, {""owner_id"": 124, ""share"": 0.2}]"
407,"г. Рославль, ш. Техническое, д. 522, 767746",Коммерческое,21.2,5,2,2011,57:89:430738:505,"[{""owner_id"": 253, ""share"": 1.0}]"
408,"д. Бомнак, ул. Крайняя, д. 224 к. 558, 008017",Коммерческое,70.4,2,25,2023,26:16:651273:819,"[{""owner_id"": 295, ""share"": 0.49}, {""owner_id"": 141, ""share"": 0.51}]"
409,"клх Тавда, алл. Привольная, д. 629 стр. 1/5, 264261",Квартира,110.4,4,22,1972,68:25:832162:531,"[{""owner_id"": 277, ""share"": 1.0}]"
410,"п. Белорецк, пер. Ударный, д. 67, 659680",Квартира,141.3,4,19,1962,51:56:742544:883,"[{""owner_id"": 5, ""share"": 1.0}]"
411,"ст. Звенигород, наб. Ягодная, д. 3 к. 983, 454006",Дом,62.7,4,20,1993,56:33:622998:435,"[{""owner_id"": 281, ""share"": 1.0}]"
412,"клх Нурлат, бул. Павлика Морозова, д. 3 к. 21, 327489",Дом,173.8,3,15,1973,83:26:703867:703,"[{""owner_id"": 191, ""share"": 1.0}]"
413,"с. Самара, ш. Ясное, д. 34 к. 3/1, 886217",Коммерческое,68.6,2,18,2005,58:35:252928:820,"[{""owner_id"": 52, ""share"": 1.0}]"
414,"клх Уренгой, ш. Ленинградское, д. 4/1, 530693",Коммерческое,113.1,3,16,1988,42:81:695417:49,"[{""owner_id"": 77, ""share"": 0.24}, {""owner_id"": 243, ""share"": 0.38}, {""owner_id"": 5, ""share"": 0.38}]"
415,"к. Якутск, наб. Угловая, д. 1, 181677",Квартира,58.8,3,16,1962,67:52:372387:370,"[{""owner_id"": 84, ""share"": 1.0}]"
416,"ст. Рославль, алл. Медицинская, д. 5 к. 5, 608385",Дом,81.9,4,4,1994,96:87:308622:591,"[{""owner_id"": 286, ""share"": 1.0}]"
417,"д. Южноуральск, пр. Загородный, д. 253, 878848",Квартира,196.3,3,12,1991,96:75:611174:794,"[{""owner_id"": 276, ""share"": 1.0}]"
418,"д. Тулун, ш. Поселковое, д. 845 стр. 27, 724630",Дом,133.7,2,6,1993,63:90:742053:586,"[{""owner_id"": 41, ""share"": 0.59}, {""owner_id"": 196, ""share"": 0.41}]"
419,"клх Краснодар, наб. Шахтерская, д. 48, 283391",Квартира,49.2,2,11,1990,93:47:844943:274,"[{""owner_id"": 37, ""share"": 1.0}]"
420,"клх Усть-Баргузин, ул. Ветеранов, д. 49 к. 98, 983221",Дом,179.8,3,24,2016,67:62:275445:189,"[{""owner_id"": 203, ""share"": 1.0}]"
421,"г. Кабанск, алл. Центральная, д. 718, 661008",Коммерческое,146.1,1,7,1971,60:23:200195:66,"[{""owner_id"": 65, ""share"": 0.63}, {""owner_id"": 121, ""share"": 0.37}]"
422,"г. Александров Гай, ул. Калинина, д. 75 стр. 440, 531980",Квартира,38.7,5,5,1960,93:59:424398:235,"[{""owner_id"": 243, ""share"": 0.12}, {""owner_id"": 281, ""share"": 0.37}, {""owner_id"": 28, ""share"": 0.51}]"
423,"с. Усть-Джегута, алл. Омская, д. 5 стр. 6/2, 030762",Дом,132.8,2,17,1971,13:14:795781:366,"[{""owner_id"": 146, ""share"": 1.0}]"
424,"ст. Лабытнанги, бул. Воровского, д. 2/6 к. 706, 641106",Коммерческое,188.3,5,15,1967,99:79:285636:606,"[{""owner_id"": 167, ""share"": 0.47}, {""owner_id"": 244, ""share"": 0.53}]"
425,"ст. Верхнее Пенжино, ул. Хвойная, д. 1 стр. 9/6, 699497",Дом,114.2,5,10,1994,71:79:338161:825,"[{""owner_id"": 289, ""share"": 1.0}]"
426,"к. Учалы, пр. Маркса Карла, д. 94, 689996",Дом,94.2,2,10,1951,10:76:954987:777,"[{""owner_id"": 158, ""share"": 1.0}]"
427,"д. Сибай, пер. Астраханский, д. 9/9, 787915",Квартира,143.8,4,25,2011,48:11:903072:441,"[{""owner_id"": 177, ""share"": 0.48}, {""owner_id"": 147, ""share"": 0.52}]"
428,"ст. Чокурдах, алл. Гастелло, д. 2/8 к. 1/4, 012657",Квартира,94.1,5,14,2000,41:30:849666:755,"[{""owner_id"": 119, ""share"": 0.54}, {""owner_id"": 4, ""share"": 0.46}]"
429,"г. Махачкала, пер. Садовый, д. 3, 755851",Квартира,67.3,4,21,1980,76:88:946803:711,"[{""owner_id"": 194, ""share"": 1.0}]"
430,"с. Любань, ул. Придорожная, д. 5/7 стр. 21, 419962",Коммерческое,153.7,3,14,1974,18:33:243260:297,"[{""owner_id"": 146, ""share"": 1.0}]"
431,"п. Жигулевск, пер. Беляева, д. 9, 704542",Коммерческое,101.5,5,16,1974,51:12:259540:51,"[{""owner_id"": 234, ""share"": 1.0}]"
432,"клх Магадан, пр. Трудовой, д. 7 к. 30, 570900",Дом,150.9,2,3,1969,11:73:327738:351,"[{""owner_id"": 12, ""share"": 0.33}, {""owner_id"": 96, ""share"": 0.16}, {""owner_id"": 53, ""share"": 0.51}]"
433,"п. Неплюевка, наб. Цветочная, д. 3/4 к. 84, 828954",Дом,103.5,1,11,1960,28:17:379449:795,"[{""owner_id"": 256, ""share"": 1.0}]"
434,"г. Ступино, бул. Казанский, д. 84 стр. 31, 168507",Дом,52.7,3,13,1951,25:41:503489:790,"[{""owner_id"": 279, ""share"": 1.0}]"
435,"ст. Нижний Новгород, бул. Привокзальный, д. 619 стр. 892, 152610",Коммерческое,139.9,2,16,1999,97:49:438756:163,"[{""owner_id"": 127, ""share"": 0.47}, {""owner_id"": 18, ""share"": 0.35}, {""owner_id"": 102, ""share"": 0.18}]"
436,"ст. Сарапул, ш. Геологическое, д. 10, 169500",Коммерческое,188.7,5,4,1982,71:91:413328:204,"[{""owner_id"": 22, ""share"": 1.0}]"
437,"клх Верхнее Пенжино, пер. Труда, д. 5 стр. 92, 698936",Коммерческое,59.2,1,8,2005,51:11:275490:814,"[{""owner_id"": 27, ""share"": 1.0}]"
438,"д. Красноуфимск, пр. Пограничный, д. 2/9 к. 47, 813104",Дом,162.0,1,2,2024,98:70:821846:611,"[{""owner_id"": 62, ""share"": 1.0}]"
439,"п. Нижний Тагил, бул. Шолохова, д. 22 стр. 5/4, 748352",Квартира,48.4,1,22,1993,90:17:162678:365,"[{""owner_id"": 46, ""share"": 1.0}]"
440,"с. Кущевская, пр. Партизанский, д. 8/4 стр. 54, 842536",Квартира,42.6,2,11,2021,92:54:944654:914,"[{""owner_id"": 275, ""share"": 1.0}]"
441,"п. Ульяновск, наб. Герцена, д. 577, 657955",Квартира,144.1,3,24,1967,42:15:608876:724,"[{""owner_id"": 99, ""share"": 1.0}]"
442,"с. Ессентуки, пер. Казанский, д. 990, 510740",Коммерческое,145.5,2,19,1973,79:54:439403:750,"[{""owner_id"": 151, ""share"": 1.0}]"
443,"г. Великий Устюг, пр. 9 мая, д. 2/1, 547602",Квартира,32.4,2,15,1987,43:79:484945:465,"[{""owner_id"": 284, ""share"": 1.0}]"
444,"с. Юровск, алл. Островского, д. 2 к. 20, 275950",Дом,152.1,1,20,1996,89:40:436272:739,"[{""owner_id"": 260, ""share"": 1.0}]"
445,"ст. Пушкинские Горы, ул. Крестьянская, д. 2 стр. 4, 594795",Дом,54.2,4,25,2020,29:88:396882:331,"[{""owner_id"": 276, ""share"": 1.0}]"
446,"к. Балашиха, ул. Азина, д. 82 к. 659, 310064",Квартира,37.3,1,2,1966,32:14:311895:110,"[{""owner_id"": 165, ""share"": 1.0}]"
447,"ст. Александровск, бул. Стадионный, д. 345, 360894",Квартира,122.8,4,22,2012,77:89:835381:605,"[{""owner_id"": 51, ""share"": 1.0}]"
448,"д. Малгобек, пер. Мирный, д. 35 стр. 6, 595205",Квартира,129.1,1,1,1976,93:72:972496:82,"[{""owner_id"": 188, ""share"": 1.0}]"
449,"г. Бийск, пр. Полевой, д. 769 к. 718, 740378",Дом,120.4,4,12,1957,88:44:654718:42,"[{""owner_id"": 32, ""share"": 1.0}]"
450,"клх Кежма, алл. Рязанская, д. 6 стр. 10, 776255",Коммерческое,37.5,2,18,1999,34:34:651752:673,"[{""owner_id"": 156, ""share"": 0.86}, {""owner_id"": 40, ""share"": 0.14}]"
451,"п. Яшкуль, ш. Заречное, д. 773 к. 5, 624178",Коммерческое,154.9,4,24,1963,91:83:475351:691,"[{""owner_id"": 92, ""share"": 1.0}]"
452,"д. Биробиджан, алл. Кавказская, д. 53 стр. 2, 009060",Квартира,50.0,2,18,2001,74:53:789472:162,"[{""owner_id"": 219, ""share"": 1.0}]"
453,"г. Ульяновск, пр. Прудный, д. 30 стр. 716, 329045",Дом,182.4,5,11,1997,62:91:551504:846,"[{""owner_id"": 227, ""share"": 1.0}]"
454,"ст. Уэлен, ш. Курчатова, д. 3 стр. 729, 260336",Дом,157.8,3,12,2007,67:60:100205:744,"[{""owner_id"": 124, ""share"": 0.54}, {""owner_id"": 289, ""share"": 0.46}]"
455,"клх Диксон, наб. 40 лет Октября, д. 51 к. 8/1, 071152",Коммерческое,22.9,2,10,1950,48:38:325258:877,"[{""owner_id"": 146, ""share"": 1.0}]"
456,"п. Калач-на-Дону, бул. Радужный, д. 292 к. 9, 897059",Коммерческое,112.0,5,19,1969,22:14:582732:365,"[{""owner_id"": 142, ""share"": 1.0}]"
457,"г. Вязьма, пр. Ульяновский, д. 6 стр. 895, 216880",Дом,180.1,2,8,1982,48:21:698199:410,"[{""owner_id"": 136, ""share"": 1.0}]"
458,"п. Сосьва (Хант.), ш. Полтавское, д. 386 стр. 3/9, 540182",Коммерческое,33.9,3,16,1972,72:98:836989:591,"[{""owner_id"": 112, ""share"": 1.0}]"
459,"п. Абинск, алл. Горняцкая, д. 9, 322041",Коммерческое,88.7,1,25,1992,54:65:536754:953,"[{""owner_id"": 49, ""share"": 0.13}, {""owner_id"": 154, ""share"": 0.87}]"
460,"с. Лабытнанги, алл. Украинская, д. 616 стр. 30, 203042",Коммерческое,88.8,3,17,1955,50:79:692354:154,"[{""owner_id"": 117, ""share"": 0.61}, {""owner_id"": 6, ""share"": 0.39}]"
461,"п. Санкт-Петербург, наб. Полярная, д. 435 к. 228, 506463",Квартира,29.1,4,15,2023,74:21:332873:443,"[{""owner_id"": 114, ""share"": 1.0}]"
462,"к. Шали, ш. Щетинкина, д. 8/6, 919832",Квартира,43.8,1,16,2023,16:80:518582:269,"[{""owner_id"": 202, ""share"": 1.0}]"
463,"клх Жиганск, ул. Карбышева, д. 774 стр. 929, 104384",Дом,159.3,2,25,1967,71:81:307731:500,"[{""owner_id"": 257, ""share"": 1.0}]"
464,"с. Жигулевск, пер. Широкий, д. 71, 080568",Квартира,121.0,5,8,1981,19:44:914504:441,"[{""owner_id"": 293, ""share"": 1.0}]"
465,"ст. Палана, ш. Дорожное, д. 4/7 к. 91, 550494",Квартира,40.3,4,14,1996,54:34:436318:353,"[{""owner_id"": 295, ""share"": 1.0}]"
466,"клх Ахтубинск, пр. Черняховского, д. 44 к. 79, 049627",Дом,50.5,3,20,2006,89:28:561859:46,"[{""owner_id"": 13, ""share"": 1.0}]"
467,"ст. Звенигород, алл. Блюхера, д. 314 к. 4, 258542",Квартира,40.2,1,8,1968,46:11:459946:711,"[{""owner_id"": 120, ""share"": 0.22}, {""owner_id"": 103, ""share"": 0.52}, {""owner_id"": 192, ""share"": 0.26}]"
468,"д. Сызрань, бул. Гражданский, д. 3/4 стр. 2, 433853",Дом,57.6,5,7,1976,79:76:886804:265,"[{""owner_id"": 157, ""share"": 0.48}, {""owner_id"": 231, ""share"": 0.52}]"
469,"с. Казань, бул. Коммунальный, д. 9 к. 43, 303115",Коммерческое,145.8,1,13,2024,94:77:145594:262,"[{""owner_id"": 73, ""share"": 1.0}]"
470,"г. Одинцово, наб. Павлова, д. 7/5 стр. 6/8, 945353",Квартира,162.1,5,9,1956,69:93:108739:69,"[{""owner_id"": 146, ""share"": 1.0}]"
471,"д. Солнечногорск, пр. 50 лет Победы, д. 2/7 к. 34, 254508",Коммерческое,173.4,3,4,1952,47:93:505298:237,"[{""owner_id"": 139, ""share"": 1.0}]"
472,"ст. Южно-Сахалинск, пер. Базарный, д. 3 к. 3/6, 966472",Квартира,53.6,5,15,2021,12:15:359409:945,"[{""owner_id"": 261, ""share"": 0.49}, {""owner_id"": 51, ""share"": 0.29}, {""owner_id"": 162, ""share"": 0.22}]"
473,"г. Серафимович, алл. Ставропольская, д. 2 к. 3, 140489",Дом,90.8,2,1,1994,97:55:472640:641,"[{""owner_id"": 171, ""share"": 1.0}]"
474,"ст. Ербогачен, ш. Огородное, д. 6 к. 4, 796373",Дом,166.1,3,13,1953,81:45:336540:156,"[{""owner_id"": 257, ""share"": 1.0}]"
475,"г. Тында, бул. Индустриальный, д. 9/6 стр. 22, 587184",Коммерческое,44.7,4,17,1979,63:40:700727:157,"[{""owner_id"": 202, ""share"": 1.0}]"
476,"п. Новый Уренгой, наб. Смоленская, д. 9/8 стр. 5, 017320",Коммерческое,79.3,5,5,1976,93:27:709254:555,"[{""owner_id"": 160, ""share"": 1.0}]"
477,"клх Дубна, пр. Леонова, д. 3/7, 563370",Квартира,75.6,5,5,2005,28:93:692282:940,"[{""owner_id"": 104, ""share"": 1.0}]"
478,"г. Баргузин, бул. 70 лет Октября, д. 97 стр. 605, 002722",Коммерческое,115.9,1,6,1990,28:13:902616:327,"[{""owner_id"": 35, ""share"": 1.0}]"
479,"п. Моршанск, бул. Омский, д. 560 к. 29, 681720",Коммерческое,188.1,3,5,1974,23:26:293720:27,"[{""owner_id"": 212, ""share"": 0.34}, {""owner_id"": 211, ""share"": 0.66}]"
480,"п. Октябрьское (Челяб.), наб. 60 лет Октября, д. 78 стр. 30, 352595",Коммерческое,61.8,1,12,1960,98:71:240600:515,"[{""owner_id"": 137, ""share"": 0.59}, {""owner_id"": 291, ""share"": 0.41}]"
481,"п. Зеленогорск (Ленин.), бул. Азина, д. 49, 045735",Дом,108.5,2,6,1974,38:14:528436:783,"[{""owner_id"": 241, ""share"": 0.25}, {""owner_id"": 192, ""share"": 0.75}]"
482,"п. Ревда (Сверд.), ул. 9 мая, д. 1 к. 7/2, 870826",Квартира,31.9,4,20,2012,98:51:579770:909,"[{""owner_id"": 139, ""share"": 0.69}, {""owner_id"": 212, ""share"": 0.21}, {""owner_id"": 114, ""share"": 0.1}]"
483,"ст. Териберка, ш. Крымское, д. 1/2, 712615",Квартира,129.4,4,24,1990,60:88:878533:586,"[{""owner_id"": 208, ""share"": 1.0}]"
484,"клх Верхний Уфалей, бул. Демьяна Бедного, д. 9 к. 7, 357422",Коммерческое,177.6,1,17,1963,67:68:967182:899,"[{""owner_id"": 269, ""share"": 1.0}]"
485,"клх Елабуга, алл. Тукая, д. 519, 258922",Коммерческое,116.8,1,18,1999,76:90:151690:195,"[{""owner_id"": 126, ""share"": 1.0}]"
486,"с. Березники, алл. Энтузиастов, д. 15 к. 4/8, 118046",Дом,159.3,3,15,1971,64:47:742917:942,"[{""owner_id"": 204, ""share"": 1.0}]"
487,"г. Клин, пр. Островского, д. 58, 852013",Квартира,103.4,4,3,2014,24:33:916558:600,"[{""owner_id"": 265, ""share"": 1.0}]"
488,"с. Березники, ш. Лунное, д. 4/8 стр. 7, 547055",Квартира,101.7,2,15,1961,42:51:825318:665,"[{""owner_id"": 280, ""share"": 0.43}, {""owner_id"": 70, ""share"": 0.27}, {""owner_id"": 202, ""share"": 0.3}]"
489,"ст. Ивдель, бул. Ленинградский, д. 2 стр. 5/2, 955640",Дом,35.4,4,24,2015,88:30:497073:564,"[{""owner_id"": 84, ""share"": 0.19}, {""owner_id"": 64, ""share"": 0.37}, {""owner_id"": 47, ""share"": 0.44}]"
490,"д. Каспийск, наб. Курчатова, д. 6/3 стр. 370, 426201",Дом,121.8,2,6,1968,32:16:539963:316,"[{""owner_id"": 88, ""share"": 1.0}]"
491,"п. Верхний Уфалей, наб. Уральская, д. 49, 967897",Дом,132.8,1,5,1975,10:89:902575:260,"[{""owner_id"": 229, ""share"": 1.0}]"
492,"д. Троицк (Моск.), алл. Уральская, д. 86 к. 4/2, 276075",Дом,117.8,1,20,2013,40:37:717466:676,"[{""owner_id"": 255, ""share"": 1.0}]"
493,"к. Ковров, алл. Некрасова, д. 21 стр. 6/5, 089523",Дом,34.3,5,1,1981,80:45:749871:644,"[{""owner_id"": 210, ""share"": 1.0}]"
494,"г. Ершов, пер. Верхний, д. 1, 764497",Квартира,53.3,1,21,1994,14:28:995304:34,"[{""owner_id"": 107, ""share"": 1.0}]"
495,"г. Белогорск (Амур.), алл. Фадеева, д. 7/5, 867649",Дом,185.7,1,4,2003,32:30:804737:292,"[{""owner_id"": 153, ""share"": 1.0}]"
496,"к. Верхний Уфалей, ш. Проезжее, д. 6/7 к. 145, 635537",Коммерческое,51.9,4,24,2024,56:14:197649:787,"[{""owner_id"": 294, ""share"": 1.0}]"
497,"д. Орск, пер. Кузнецова, д. 87 к. 619, 963530",Дом,167.6,4,18,1958,47:70:241081:125,"[{""owner_id"": 189, ""share"": 1.0}]"
498,"клх Алапаевск, наб. Котовского, д. 328, 636431",Дом,114.9,5,7,1976,88:17:214611:586,"[{""owner_id"": 141, ""share"": 1.0}]"
499,"д. Юровск, ш. Щорса, д. 6/5 стр. 7/4, 544344",Коммерческое,128.9,3,14,1990,43:77:703080:639,"[{""owner_id"": 271, ""share"": 0.49}, {""owner_id"": 45, ""share"": 0.51}]"
500,"д. Городовиковск, пер. Владимирский, д. 54 к. 5/4, 640882",Коммерческое,121.3,5,24,2013,73:33:739008:239,"[{""owner_id"": 67, ""share"": 1.0}]"
501,"г. Чусовой, пер. Фадеева, д. 89 к. 99, 132109",Дом,132.6,1,24,1976,88:63:534153:47,"[{""owner_id"": 100, ""share"": 0.19}, {""owner_id"": 1, ""share"": 0.81}]"
502,"г. Иваново, ш. Серафимовича, д. 575, 346557",Коммерческое,58.2,2,23,1986,42:18:422722:308,"[{""owner_id"": 287, ""share"": 1.0}]"
503,"г. Костомукша, ул. Дружбы, д. 7, 612939",Квартира,40.5,3,11,2000,82:88:130531:853,"[{""owner_id"": 166, ""share"": 1.0}]"
504,"п. Новомичуринск, алл. Донская, д. 67, 589635",Дом,186.0,4,16,1954,92:27:604884:160,"[{""owner_id"": 170, ""share"": 1.0}]"
505,"г. Усть-Катав, ш. Крестьянское, д. 51 к. 9, 345663",Дом,103.2,4,24,1957,76:48:692385:743,"[{""owner_id"": 275, ""share"": 1.0}]"
506,"п. Уренгой, наб. Сосновая, д. 34 стр. 36, 033474",Коммерческое,23.4,5,22,1992,55:18:256557:288,"[{""owner_id"": 285, ""share"": 1.0}]"
507,"с. Каргополь, ул. Степная, д. 4 стр. 7/9, 800852",Квартира,122.8,4,6,1964,49:50:844321:33,"[{""owner_id"": 174, ""share"": 0.6}, {""owner_id"": 193, ""share"": 0.4}]"
